,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,40.0,0.0,0.0,40.0,0.0,20.0,0.0,510.0,0.0,0.0,10.0,0.0,125.0,0.0,60.0,0.0,635.0
1,2,21.644736842105264,0.0,0.0,58.61842105263158,0.0,85.38157894736842,3.8157894736842106,550.2368421052631,1.9078947368421053,0.0,60.526315789473685,0.0,315.75,55.26315789473684,74.40789473684211,0.0,203.76315789473685
2,6,51.15525114155251,0.0,40.68493150684932,70.4337899543379,3.6986301369863015,44.56164383561644,0.0,482.76255707762556,3.3789954337899544,5.273972602739726,12.963470319634704,28.310502283105023,281.9178082191781,8.67579908675799,106.3013698630137,7.671232876712328,282.1415525114155
3,8,0.0,0.0,0.0,9.8,0.0,150.26666666666668,0.0,389.3,0.0,0.0,13.75,0.0,287.9166666666667,51.45,121.01666666666667,0.0,416.5
4,12,0.0,0.0,0.0,41.75,0.0,47.5,0.0,537.0,0.0,0.0,80.5,0.0,450.75,0.0,66.5,0.0,216.0
5,13,45.95744680851064,0.0,0.0,42.5531914893617,0.0,165.4255319148936,0.0,432.74468085106383,22.02127659574468,44.04255319148936,1.4680851063829787,0.0,178.72340425531914,0.0,54.53191489361702,0.0,452.531914893617
6,15,32.63358778625954,18.96946564885496,0.0,81.4885496183206,0.0,35.55725190839695,0.0,626.0839694656488,1.297709923664122,0.0,50.267175572519086,0.0,175.72519083969465,0.0,84.08396946564885,0.0,331.03053435114504
7,16,97.14285714285714,0.0,102.85714285714286,38.57142857142857,0.0,145.0,0.0,432.85714285714283,0.0,0.0,0.0,0.0,361.2857142857143,0.0,18.857142857142858,0.0,243.42857142857142
8,17,32.22950819672131,0.0,0.0,52.295081967213115,0.0,216.47540983606558,0.0,574.688524590164,2.2131147540983607,0.0,14.39344262295082,0.0,266.7049180327869,182.7704918032787,98.22950819672131,0.0,0.0
9,19,0.0,0.6530612244897959,0.0,57.40816326530612,0.0,42.857142857142854,0.0,552.2448979591836,0.0,0.0,21.040816326530614,0.0,393.14285714285717,0.0,65.71428571428571,0.0,306.9387755102041
