,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,2.4375,0.0,0.0,55.3125,0.0,81.25,0.0,599.21875,21.09375,0.0,78.75,88.90625,76.875,43.28125,50.703125,0.0,342.171875
1,2,0.0,2.34375,0.0,59.0625,0.0,205.390625,0.0,556.71875,30.46875,4.6875,4.6875,0.0,168.28125,0.0,51.875,0.0,356.484375
2,4,16.160714285714285,12.857142857142858,72.32142857142857,70.08928571428571,0.0,40.0,0.0,452.57142857142856,1.9642857142857142,0.0,16.625,0.0,244.19642857142858,30.357142857142858,93.48214285714286,0.0,377.23214285714283
3,5,193.41463414634146,0.0,10.975609756097562,81.95121951219512,0.0,56.829268292682926,0.0,619.0243902439024,0.0,0.0,44.390243902439025,50.73170731707317,106.09756097560975,0.0,92.5609756097561,0.0,184.02439024390245
4,6,9.06441717791411,36.77914110429448,3.8650306748466257,77.0521472392638,0.0,100.60736196319019,11.042944785276074,591.4723926380368,0.0,0.0,47.79141104294479,4.969325153374233,179.44478527607362,30.061349693251532,114.38343558282209,0.0,221.59509202453987
5,8,165.0,0.0,0.0,30.0,0.0,35.0,0.0,450.0,0.0,0.0,5.0,0.0,235.0,0.0,55.0,0.0,465.0
6,12,58.425414364640886,0.0,0.0,48.67403314917127,0.0,176.81767955801104,4.226519337016574,634.0773480662983,31.646408839779006,0.0,46.408839779005525,11.933701657458563,215.88397790055248,15.58011049723757,80.93922651933701,0.0,115.38674033149171
7,13,0.0,0.0,0.0,75.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,340.0,0.0,70.0,0.0,445.0
8,15,9.923664122137405,0.0,0.0,48.30534351145038,0.0,89.44274809160305,0.0,556.1679389312977,0.6717557251908397,0.0,21.076335877862597,1.5267175572519085,142.44274809160305,56.7557251908397,96.16030534351145,0.0,416.8702290076336
9,16,0.0,0.0,0.0,30.0,0.0,51.0,0.0,500.0,0.0,0.0,380.0,0.0,325.0,0.0,154.0,0.0,0.0
10,17,0.0,0.0,0.0,72.67241379310344,0.0,73.96551724137932,0.0,567.551724137931,0.0,0.0,0.0,0.0,204.31034482758622,13.96551724137931,46.13793103448276,33.206896551724135,428.1896551724138
11,18,0.0,0.0,102.85714285714286,69.28571428571429,0.0,97.14285714285714,0.0,523.5714285714286,30.714285714285715,0.0,0.0,0.0,124.28571428571429,12.857142857142858,20.0,0.0,459.2857142857143
12,19,0.0,2.4358974358974357,21.923076923076923,57.43589743589744,0.0,15.384615384615385,0.0,531.5384615384615,29.23076923076923,0.0,70.64102564102564,0.0,104.35897435897436,0.0,59.61538461538461,0.0,547.4358974358975
13,20,52.473684210526315,3.6842105263157894,0.0,48.76315789473684,0.0,177.68421052631578,0.0,586.578947368421,0.1,0.0,38.23684210526316,0.0,289.61052631578946,0.0,64.36842105263158,25.57894736842105,152.92105263157896
14,21,0.0,0.0,0.0,18.333333333333332,0.0,40.666666666666664,0.0,483.3333333333333,0.0,0.0,23.333333333333332,0.0,427.6666666666667,25.0,73.33333333333333,0.0,308.3333333333333
15,22,18.571428571428573,1.380952380952381,0.0,97.26190476190476,0.0,11.976190476190476,0.0,465.7142857142857,0.0,69.04761904761905,6.904761904761905,0.0,344.5238095238095,0.0,77.64285714285714,0.0,346.9761904761905
16,23,0.0,180.0,0.0,30.0,0.0,181.0,0.0,450.0,0.0,0.0,0.0,0.0,544.0,0.0,55.0,0.0,0.0
17,24,5.32258064516129,0.12903225806451613,43.87096774193548,71.41129032258064,0.0,64.63709677419355,0.0,545.8629032258065,23.04032258064516,0.0,22.282258064516128,65.20161290322581,262.4274193548387,0.0,108.68548387096774,71.56451612903226,155.56451612903226
18,25,11.707317073170731,0.0,0.0,33.41463414634146,0.0,92.6829268292683,0.0,674.8780487804878,0.0,0.0,14.634146341463415,108.29268292682927,223.17073170731706,0.0,71.82926829268293,0.0,209.390243902439
19,26,12.610619469026549,6.814159292035399,31.061946902654867,70.04424778761062,0.0,183.60176991150442,0.0,546.9380530973451,0.0,7.433628318584071,73.27433628318585,35.4070796460177,131.53097345132744,0.0,88.45132743362832,22.831858407079647,201.68141592920355
20,27,0.0,0.0,0.0,19.428571428571427,0.0,194.28571428571428,0.0,670.2857142857143,0.0,0.0,27.428571428571427,0.0,417.14285714285717,0.0,51.42857142857143,0.0,0.0
21,28,0.0,0.0,279.0625,84.9375,0.0,66.5625,0.0,538.5,0.0,62.34375,0.0,0.0,87.1875,0.0,114.21875,0.0,207.1875
22,29,103.375,3.5625,0.0,77.4375,0.0,51.375,0.0,540.6875,2.375,0.0,16.5,74.4375,115.25,0.0,184.3125,2.375,268.3125
23,30,0.0,0.0,0.0,60.0,0.0,65.0,45.0,750.0,20.0,0.0,25.0,0.0,410.0,0.0,65.0,0.0,0.0
24,31,87.2,0.0,127.78181818181818,39.36363636363637,0.0,115.61818181818182,0.0,660.1818181818181,0.0,0.0,111.56363636363636,0.0,228.8181818181818,39.72727272727273,29.745454545454546,0.0,0.0
25,32,3.896103896103896,0.0,0.0,129.67532467532467,0.0,78.76623376623377,0.0,578.6363636363636,10.38961038961039,0.0,10.584415584415584,0.0,292.5974025974026,0.0,38.37662337662338,0.0,270.38961038961037
26,33,60.0,0.0,0.0,45.0,0.0,125.0,0.0,480.0,0.0,0.0,60.0,0.0,165.0,0.0,60.0,0.0,445.0
27,34,79.08928571428571,33.94642857142857,0.0,36.857142857142854,0.0,7.678571428571429,0.0,338.2142857142857,0.0,0.0,15.357142857142858,0.0,552.2857142857143,0.0,152.35714285714286,0.0,224.21428571428572
28,36,16.443298969072163,3.711340206185567,0.0,56.90721649484536,13.45360824742268,188.7835051546392,0.0,496.07216494845363,0.0,1.8556701030927836,15.989690721649485,0.0,211.55670103092783,0.0,88.01030927835052,23.010309278350515,324.2061855670103
29,37,26.01851851851852,2.2222222222222223,40.0,72.4074074074074,0.0,47.31481481481482,0.0,661.9166666666666,6.944444444444445,0.0,2.037037037037037,0.0,343.14814814814815,9.166666666666666,58.129629629629626,0.0,162.36111111111111
30,38,0.0,0.0,0.0,15.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,150.0,40.0,0.0,495.0
31,39,51.0920245398773,4.41717791411043,31.288343558282207,50.88957055214724,0.0,75.48466257668711,0.0,605.9754601226994,9.877300613496933,4.171779141104294,41.423312883435585,11.16564417177914,268.7546012269939,10.552147239263803,92.09815950920246,0.0,146.7361963190184
32,40,7.80515759312321,20.759312320916905,45.98853868194843,60.5243553008596,0.0,114.72492836676217,0.0,555.3868194842407,0.3868194842406877,1.3753581661891117,40.289398280802295,0.0,279.70200573065904,12.679083094555875,69.59598853868195,5.415472779369628,212.88538681948424
33,41,18.862275449101798,30.089820359281436,10.538922155688622,66.16766467065868,0.0,183.26347305389223,0.0,599.4850299401197,0.0,1.9760479041916168,9.760479041916168,0.0,89.88023952095809,17.78443113772455,73.02994011976048,0.0,285.50898203592817
34,42,6.534653465346534,0.0,0.0,95.46534653465346,0.0,131.43564356435644,0.0,474.4059405940594,0.0,0.0,29.297029702970296,0.0,301.980198019802,0.0,113.53465346534654,0.0,287.34653465346537
35,44,0.0,105.0,0.0,26.666666666666668,0.0,200.0,0.0,488.3333333333333,0.0,0.0,125.0,0.0,155.33333333333334,0.0,73.0,0.0,266.6666666666667
36,45,74.36619718309859,0.0,0.0,51.33802816901409,0.0,221.19718309859155,0.0,494.71830985915494,11.267605633802816,0.0,9.507042253521126,0.0,300.84507042253523,68.52112676056338,94.16901408450704,0.0,93.38028169014085
37,47,70.54054054054055,18.64864864864865,12.162162162162161,74.12162162162163,0.0,109.05405405405405,0.0,645.4054054054054,0.0,0.0,70.94594594594595,74.66216216216216,256.2162162162162,0.0,67.16216216216216,0.0,0.0
38,48,12.10958904109589,0.6027397260273972,0.0,36.50684931506849,0.0,108.85616438356165,0.0,550.3767123287671,15.616438356164384,4.52054794520548,58.21917808219178,0.0,318.4246575342466,0.0,91.02739726027397,19.726027397260275,220.72602739726028
39,51,7.754385964912281,18.24561403508772,0.0,104.73684210526316,0.0,32.63157894736842,123.15789473684211,592.6666666666666,9.12280701754386,52.63157894736842,0.0,0.0,120.0,0.0,106.28070175438596,0.0,267.50877192982455
40,53,26.44943820224719,27.808988764044944,0.0,43.41573033707865,0.0,72.70786516853933,0.0,487.79213483146066,2.752808988764045,2.752808988764045,23.179775280898877,0.0,293.3370786516854,11.01123595505618,83.25842696629213,2.0224719101123596,363.5112359550562
41,55,0.0,1.0,0.0,30.0,0.0,614.0,0.0,690.0,0.0,0.0,0.0,0.0,70.0,0.0,35.0,0.0,0.0
42,56,0.0,0.0,0.0,65.0,0.0,107.0,0.0,533.0,0.0,0.0,0.0,0.0,180.0,0.0,60.0,0.0,495.0
