,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,81.2,158.4,0.0,94.8,0.0,8.4,0.0,499.2,0.0,0.0,0.0,0.0,184.0,0.0,47.2,0.0,366.8
1,4,17.785714285714285,3.5,0.0,79.10714285714286,0.0,18.928571428571427,0.0,606.8452380952381,0.0,0.0,43.142857142857146,172.5,117.92857142857143,0.0,89.9047619047619,0.0,275.35714285714283
2,6,8.735632183908047,2.1839080459770117,120.11494252873563,100.80459770114942,0.0,79.94252873563218,0.0,620.2298850574713,0.0,13.10344827586207,58.160919540229884,0.0,351.95402298850576,0.0,66.55172413793103,0.0,0.0
3,12,0.0,0.0,0.0,110.0,0.0,20.0,0.0,495.0,0.0,0.0,20.0,0.0,150.0,0.0,95.0,0.0,550.0
4,17,162.0,0.0,0.0,50.0,0.0,0.0,0.0,513.0,0.0,0.0,10.0,0.0,190.0,0.0,105.0,0.0,410.0
5,19,0.0,0.0,0.0,66.95121951219512,0.0,49.02439024390244,0.0,489.0243902439024,0.0,0.0,0.0,0.0,189.390243902439,0.0,35.0,0.0,610.609756097561
6,20,0.0,58.84615384615385,0.0,27.0,0.0,89.61538461538461,0.0,471.53846153846155,0.0,0.0,0.38461538461538464,0.0,18.46153846153846,0.0,235.76923076923077,0.0,538.3846153846154
7,24,5.0,0.0,0.0,45.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,720.0,0.0,70.0,0.0,0.0
8,26,31.875,0.0,70.3125,38.90625,0.0,70.3125,0.0,623.90625,0.0,0.0,56.25,63.75,288.59375,0.0,42.03125,0.0,154.0625
9,27,82.89473684210526,0.0,0.0,57.36842105263158,0.0,54.21052631578947,0.0,495.7894736842105,0.0,0.0,0.0,0.0,127.10526315789474,21.31578947368421,77.36842105263158,0.0,523.9473684210526
10,34,10.0,0.0,0.0,40.0,0.0,20.0,0.0,795.0,25.0,0.0,5.0,0.0,300.0,0.0,70.0,0.0,0.0
11,35,54.94186046511628,2.0348837209302326,0.0,89.82558139534883,0.0,168.95348837209303,0.0,477.2674418604651,0.0,0.0,14.36046511627907,89.24418604651163,151.45348837209303,0.0,79.82558139534883,0.0,312.09302325581393
12,37,61.80672268907563,23.067226890756302,0.0,37.52100840336134,0.0,116.09243697478992,0.0,578.0252100840336,0.0,0.0,35.46218487394958,5.042016806722689,295.4117647058824,27.73109243697479,79.95798319327731,0.0,179.88235294117646
13,39,0.0,0.0,0.0,30.0,0.0,210.0,0.0,720.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0
14,40,85.30864197530865,0.0,0.0,82.8395061728395,0.0,52.407407407407405,9.25925925925926,584.6604938271605,24.382716049382715,0.0,19.660493827160494,12.345679012345679,179.72222222222223,15.185185185185185,76.38888888888889,0.0,268.58024691358025
15,41,67.0,0.0,0.0,72.0,0.0,129.0,0.0,586.0,0.0,0.0,91.0,0.0,417.0,30.0,48.0,0.0,0.0
16,42,0.0,0.0,0.0,281.07142857142856,0.0,0.0,0.0,594.2857142857143,16.964285714285715,0.0,39.642857142857146,118.75,165.17857142857142,0.0,169.10714285714286,0.0,0.0
17,46,0.0,0.0,0.0,50.0,0.0,62.5,0.0,760.0,0.0,0.0,40.0,0.0,255.0,0.0,37.5,0.0,235.0
18,48,0.0,18.181818181818183,0.0,48.0,0.0,18.181818181818183,0.0,628.8181818181819,0.0,2.727272727272727,7.090909090909091,0.0,70.9090909090909,279.54545454545456,42.0,0.0,324.54545454545456
19,49,96.91666666666667,0.0,0.0,36.666666666666664,0.0,0.0,0.0,483.3333333333333,0.0,0.0,36.0,0.0,300.78333333333336,0.0,77.2,36.0,373.1
20,51,123.0,0.0,0.0,30.0,0.0,120.0,0.0,541.0,0.0,0.0,0.0,0.0,75.0,0.0,61.0,0.0,490.0
21,53,0.0,0.0,27.804878048780488,73.17073170731707,0.0,24.073170731707318,0.0,456.4146341463415,0.0,0.0,0.0,83.41463414634147,309.7560975609756,0.0,111.95121951219512,0.0,297.8048780487805
22,55,191.11111111111111,0.0,0.0,38.888888888888886,0.0,121.11111111111111,0.0,548.8888888888889,0.0,0.0,81.11111111111111,0.0,121.66666666666667,0.0,51.111111111111114,0.0,286.1111111111111
23,56,0.0,0.0,0.0,20.0,0.0,60.0,0.0,450.0,0.0,0.0,0.0,0.0,410.0,0.0,32.0,0.0,468.0
