,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,5.433399602385686,13.852882703777336,20.357852882703778,54.88270377733598,0.0,51.238568588469185,1.6699801192842942,563.3518886679921,8.081510934393638,16.06361829025845,22.958250497017893,36.05367793240557,333.5168986083499,10.357852882703778,99.03578528827038,15.347912524850894,171.77335984095427
1,2,0.0,0.0,0.0,58.125,0.0,41.4375,5.625,509.375,65.625,11.25,50.625,92.5,51.25,25.3125,159.5,0.0,303.75
2,4,0.0,0.0,345.0,105.0,0.0,180.0,0.0,540.0,0.0,0.0,0.0,0.0,150.0,0.0,120.0,0.0,0.0
3,5,77.3170731707317,0.0,0.0,77.5609756097561,0.0,233.0487804878049,0.0,308.4146341463415,0.0,0.0,39.02439024390244,0.0,315.3658536585366,43.90243902439025,114.8780487804878,0.0,230.4878048780488
4,6,15.617427385892116,13.488796680497925,9.249792531120331,64.57842323651452,0.0,124.32448132780083,2.676348547717842,531.3186721991701,13.97344398340249,6.686307053941909,39.22240663900415,11.556016597510373,278.4182572614108,15.667219917012448,117.71120331950208,15.681327800829875,172.87966804979254
5,8,9.827586206896552,2.0172413793103448,0.0,71.12068965517241,0.0,270.51724137931035,0.0,536.6896551724138,6.724137931034483,0.0,80.6896551724138,0.0,111.46551724137932,113.01724137931035,137.06896551724137,0.0,100.86206896551724
6,9,0.0,0.0,0.0,39.516129032258064,0.0,62.97849462365591,0.0,606.5698924731183,0.0,0.0,13.924731182795698,38.064516129032256,137.11827956989248,2.2580645161290325,77.21505376344086,0.0,418.48387096774195
7,10,0.0,0.0,18.88888888888889,98.42592592592592,0.0,56.2962962962963,0.0,427.962962962963,44.72222222222222,0.0,6.851851851851852,0.0,86.11111111111111,31.11111111111111,78.14814814814815,0.0,591.4814814814815
8,11,29.21904761904762,0.0,0.0,65.85714285714286,0.0,165.57142857142858,5.238095238095238,634.0666666666667,4.380952380952381,0.0,58.476190476190474,0.0,230.14285714285714,6.571428571428571,73.85714285714286,0.0,166.61904761904762
9,12,7.693667157584684,2.2827687776141383,9.189985272459499,60.07511045655376,0.0,116.12665684830634,0.0,563.8483063328424,8.078055964653903,10.544918998527246,22.341678939617083,30.63033873343152,214.10898379970544,5.997054491899853,72.6818851251841,6.46539027982327,296.40058910162
10,13,17.713461538461537,11.423076923076923,8.307692307692308,53.13461538461539,0.0,85.325,0.0,556.5326923076923,5.180769230769231,5.711538461538462,32.50192307692308,31.978846153846153,216.85961538461538,22.90576923076923,71.85,43.40384615384615,258.3134615384615
11,15,0.0,0.0,0.0,60.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,450.0
12,17,34.9874213836478,17.448637316561843,60.098532494758906,43.0293501048218,0.0,107.31656184486373,0.7756813417190775,541.5681341719078,7.4423480083857445,0.0,19.89517819706499,10.555555555555555,228.80503144654088,36.658280922431864,98.44025157232704,27.171907756813418,201.42557651991615
13,18,5.575,7.425,18.75,79.125,0.0,85.21,0.0,559.96,13.525,8.55,24.675,27.75,152.755,0.0,69.785,12.15,367.265
14,19,0.0,0.0,0.0,20.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,120.0,0.0,35.0,0.0,645.0
15,20,0.0,0.0,40.714285714285715,87.55952380952381,0.0,22.261904761904763,0.0,466.25,0.0,0.0,16.0,65.5952380952381,167.26190476190476,42.32142857142857,201.26190476190476,5.75,325.0238095238095
16,21,24.585365853658537,0.0,0.0,88.79268292682927,0.0,19.76829268292683,0.0,525.0487804878048,4.7682926829268295,0.0,1.9634146341463414,11.524390243902438,135.84146341463415,10.975609756097562,67.58536585365853,0.0,549.1463414634146
17,22,25.442244224422442,0.0,0.0,46.584158415841586,0.0,92.4026402640264,0.0,500.4389438943894,3.943894389438944,0.0,13.052805280528053,21.32013201320132,310.52145214521454,33.26732673267327,84.62046204620462,2.6732673267326734,303.4884488448845
18,24,28.77699293642785,24.287588294651865,3.208879919273461,50.264379414732595,13.773965691220988,104.72149344096871,1.4530776992936427,570.84561049445,12.169525731584258,9.278506559031282,36.820383451059534,28.022199798183653,230.74772956609485,6.853683148335016,80.53582240161452,9.297679112008073,219.61856710393542
19,25,8.693989071038251,46.91256830601093,0.0,50.03825136612022,0.0,58.19672131147541,0.0,539.327868852459,0.0,0.0,26.508196721311474,26.628415300546447,217.13661202185793,1.8032786885245902,81.16939890710383,1.3934426229508197,346.53551912568304
20,26,40.35897435897436,0.0,4.358974358974359,60.05555555555556,0.0,97.46367521367522,0.0,546.4230769230769,11.826923076923077,0.5128205128205128,36.3034188034188,15.737179487179487,211.0982905982906,8.023504273504274,80.90384615384616,8.076923076923077,292.35042735042737
21,27,35.869565217391305,0.0,0.0,68.26086956521739,0.0,33.47826086956522,0.0,513.1739130434783,0.0,0.0,2.391304347826087,86.84782608695652,321.0869565217391,0.0,68.02173913043478,0.0,296.5217391304348
22,28,1.627906976744186,11.085271317829458,0.0,35.81395348837209,0.0,72.51937984496124,0.0,687.7674418604652,0.0,6.976744186046512,11.2015503875969,25.0,271.27906976744185,9.806201550387597,66.88372093023256,9.30232558139535,230.73643410852713
23,29,16.23308270676692,0.0,0.0,58.421052631578945,0.0,58.4812030075188,0.0,557.6541353383459,12.74436090225564,10.526315789473685,13.75187969924812,0.0,362.70676691729324,6.616541353383458,88.01503759398496,0.0,222.89473684210526
24,31,0.0,0.0,0.0,80.0,0.0,110.0,0.0,540.0,0.0,0.0,40.0,0.0,182.0,0.0,44.0,0.0,444.0
25,32,62.63636363636363,0.0,0.0,56.93181818181818,0.0,45.90909090909091,0.0,589.0909090909091,26.59090909090909,0.0,0.0,0.0,429.75,27.272727272727273,21.136363636363637,0.0,180.6818181818182
26,34,75.71165644171779,7.969325153374233,0.0,63.71165644171779,0.0,69.57055214723927,5.383435582822086,544.6932515337423,22.36196319018405,15.230061349693251,31.475460122699385,0.0,334.2453987730061,13.389570552147239,115.83435582822086,9.938650306748466,130.48466257668713
27,35,0.0,0.0,0.0,25.0,0.0,130.0,0.0,510.0,0.0,90.0,15.0,275.0,275.0,0.0,75.0,45.0,0.0
28,36,66.9717868338558,5.73876698014629,19.147335423197493,52.70637408568443,0.0,95.16091954022988,0.0,541.7847439916405,12.080459770114942,2.541274817136886,28.520376175548588,18.307210031347964,271.1818181818182,10.616509926854754,97.75653082549634,12.375130616509926,191.69174503657263
29,37,12.719696969696969,13.214015151515152,20.738636363636363,53.333333333333336,0.0,50.25,0.0,577.1931818181819,1.1363636363636365,12.096590909090908,36.46401515151515,26.935606060606062,304.5094696969697,8.778409090909092,100.37121212121212,4.7727272727272725,217.48674242424244
30,39,35.51374207188161,0.8879492600422833,9.133192389006343,63.53488372093023,0.0,58.71881606765328,2.1141649048625792,565.4186046511628,1.1416490486257929,11.923890063424947,28.48414376321353,19.101479915433405,256.5940803382664,16.807610993657505,83.85412262156449,0.0,286.77167019027485
31,40,0.0,0.0,0.0,58.392857142857146,0.0,96.13095238095238,0.0,499.42857142857144,0.0,0.0,2.9761904761904763,0.0,201.07142857142858,0.0,84.46428571428571,20.0,477.5357142857143
32,41,42.5,0.0,0.0,90.0,0.0,65.0,0.0,452.5,2.5,15.0,45.0,0.0,147.5,15.0,82.5,0.0,482.5
