,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,12.5,3.75,0.0,54.989583333333336,0.0,189.11458333333334,0.0,573.59375,0.0,0.0,43.4375,76.71875,334.0729166666667,12.5,51.510416666666664,25.0,62.8125
1,2,0.0,0.0,0.0,30.0,0.0,160.0,0.0,630.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0
2,4,29.659157688540645,7.4113614103819785,3.819784524975514,74.92458374142997,0.0,137.63467189030362,0.0,588.4877571008815,0.881488736532811,0.0,40.52007835455436,16.78060724779628,205.83153770812928,17.02252693437806,79.5690499510284,3.447600391772772,226.20861900097944
3,5,18.11320754716981,0.0,19.245283018867923,59.43396226415094,0.0,62.924528301886795,0.0,647.6415094339623,0.0,0.0,0.0,0.0,301.60377358490564,0.0,43.77358490566038,0.0,287.2641509433962
4,6,39.255418719211825,4.4625615763546795,14.467610837438423,71.164039408867,0.0,105.25467980295566,0.6619458128078818,565.192487684729,4.219211822660099,1.535344827586207,30.648891625615764,9.694581280788178,215.34371921182267,18.626108374384238,90.45381773399015,3.4798029556650247,254.2514778325123
5,8,9.738853503184714,19.485350318471337,15.35031847133758,74.01401273885351,0.0,112.26878980891719,0.0,530.8853503184713,4.445859872611465,0.4585987261146497,30.070063694267517,4.968152866242038,210.9452229299363,26.598726114649683,89.63184713375796,3.5095541401273884,294.3859872611465
6,9,55.64356435643565,5.091584158415841,40.41089108910891,68.88613861386139,0.0,102.59158415841584,0.0,560.9777227722773,4.22029702970297,1.5594059405940595,24.269801980198018,9.529702970297029,180.7549504950495,19.71039603960396,96.0940594059406,8.465346534653465,259.009900990099
7,10,1.5555555555555556,0.0,0.0,27.77777777777778,0.0,0.0,0.0,601.1111111111111,0.0,0.0,0.0,0.0,207.33333333333334,0.0,43.333333333333336,0.0,538.8888888888889
8,12,29.021266759130835,3.8890429958391124,14.466019417475728,73.01063337956542,0.21497919556171982,101.68192325473879,0.5547850208044383,544.8973647711512,5.926953305594083,1.4054553860379102,26.98890429958391,7.436430883032825,219.93712436430883,17.464632454923716,90.14285714285714,1.1373092926490984,294.00878409616274
9,13,30.118577075098813,27.509881422924902,18.75494071146245,60.37549407114624,0.0,101.79841897233202,0.0,664.7075098814229,0.0,0.0,27.90513833992095,12.569169960474309,195.17786561264822,11.383399209486166,81.48221343873517,0.0,204.58893280632412
10,15,8.727272727272727,1.1636363636363636,0.0,54.763636363636365,0.0,224.45454545454547,0.0,471.45454545454544,30.327272727272728,0.0,25.818181818181817,0.0,109.36363636363636,82.03636363636363,75.7090909090909,0.0,356.1818181818182
11,16,11.323529411764707,0.0,0.0,95.09803921568627,0.0,196.7941176470588,0.0,583.9411764705883,0.0,13.529411764705882,83.26470588235294,0.0,54.85294117647059,4.117647058823529,126.49019607843137,0.0,270.5882352941176
12,17,32.3061049011178,6.56749785038693,10.369733447979364,71.04041272570937,1.0834049871023217,123.19776440240757,2.476354256233878,562.3224419604471,7.360275150472915,1.2209802235597593,31.182287188306105,20.387790197764403,217.2287188306105,10.176268271711091,89.46001719690456,0.3869303525365434,246.55631986242477
13,18,66.88257575757575,4.045454545454546,20.90909090909091,54.88636363636363,0.0,139.99621212121212,5.2272727272727275,572.7348484848485,7.784090909090909,8.125,26.893939393939394,17.181818181818183,178.56439393939394,23.363636363636363,63.71590909090909,0.0,244.89772727272728
14,19,9.78061224489796,19.285714285714285,59.464285714285715,55.09183673469388,0.0,87.26020408163265,0.0,656.3775510204082,0.0,0.4336734693877551,64.61224489795919,0.0,236.96428571428572,13.377551020408163,62.275510204081634,0.0,163.9795918367347
15,20,0.0,0.6060606060606061,102.82828282828282,95.05050505050505,0.0,58.96969696969697,0.0,548.5353535353536,0.0,0.0,0.0,3.9393939393939394,182.7979797979798,20.606060606060606,65.16161616161617,0.0,361.5050505050505
16,22,9.090909090909092,0.0,106.22222222222223,85.85858585858585,0.0,23.88888888888889,0.0,599.989898989899,0.0,0.0,0.3434343434343434,32.22222222222222,226.08080808080808,64.84848484848484,77.06060606060606,0.0,214.3939393939394
17,24,37.71531100478469,0.0,0.0,55.27511961722488,0.0,128.94497607655504,0.0,571.7607655502393,2.272727272727273,0.20334928229665072,18.13397129186603,16.363636363636363,181.08851674641147,24.593301435406698,97.93301435406698,12.631578947368421,289.6626794258373
18,25,9.471698113207546,3.006289308176101,30.157232704402517,54.204402515723274,0.0,134.98427672955975,0.0,581.9748427672956,6.084905660377358,0.0,26.0251572327044,10.377358490566039,240.38050314465409,12.547169811320755,98.83018867924528,8.49056603773585,215.14779874213838
19,26,36.99753694581281,32.433497536945815,23.99014778325123,65.48029556650246,0.0,136.75862068965517,0.0,513.7881773399015,15.357142857142858,0.0,42.1551724137931,0.0,251.5344827586207,15.812807881773399,76.55418719211822,0.0,223.22660098522167
20,27,48.74175824175824,17.895604395604394,0.0,86.4010989010989,0.0,46.23626373626374,0.0,569.0054945054945,1.2637362637362637,5.1923076923076925,70.56593406593407,20.76923076923077,213.06043956043956,22.21978021978022,98.75824175824175,4.285714285714286,235.6043956043956
21,28,70.0,0.0,0.0,30.0,0.0,135.0,0.0,670.0,30.0,0.0,0.0,0.0,10.0,30.0,20.0,0.0,445.0
22,29,36.50833333333333,29.166666666666668,0.0,46.125,0.0,53.68333333333333,0.0,598.2833333333333,0.0,24.6,46.7,0.0,199.16666666666666,40.0,64.33333333333333,0.0,301.43333333333334
23,30,128.6067415730337,72.80898876404494,0.0,51.12359550561798,0.0,303.03370786516854,0.0,587.9775280898876,2.696629213483146,0.0,5.730337078651686,18.719101123595507,138.69662921348313,33.03370786516854,97.57303370786516,0.0,0.0
24,31,75.18018018018019,0.0,0.0,63.513513513513516,0.0,166.8918918918919,0.0,599.0540540540541,0.0,0.0,34.88288288288288,16.216216216216218,224.38738738738738,21.62162162162162,103.74774774774775,0.0,134.5045045045045
25,32,45.17123287671233,0.8904109589041096,4.602739726027397,77.96301369863014,0.0,118.96438356164384,1.5616438356164384,557.0931506849315,6.0,0.273972602739726,29.74931506849315,6.616438356164384,197.84794520547945,13.10958904109589,77.30958904109589,0.0,297.0945205479452
26,33,42.15,0.0,0.0,73.35,0.0,54.15,0.0,475.75,9.6,0.0,30.35,0.0,204.05,0.0,114.06,0.0,425.04
27,34,27.420741989881957,10.452782462057336,23.920741989881957,61.63743676222597,6.57672849915683,95.05986509274874,0.0,561.9907251264756,2.1627318718381114,8.340640809443508,30.55564924114671,5.34991568296796,237.15345699831366,11.623102866779089,80.72596964586846,9.156829679595278,245.15345699831366
28,35,33.51779141104294,4.316564417177914,5.705521472392638,78.82208588957056,0.0,114.27730061349693,1.3251533742331287,539.7521472392638,2.320245398773006,1.2515337423312884,21.116564417177916,7.325153374233129,243.08098159509203,8.031901840490798,85.27361963190184,1.1386503067484663,285.8846625766871
29,36,46.418260869565216,5.6460869565217395,1.791304347826087,68.94173913043478,0.0,112.82608695652173,0.39565217391304347,551.0573913043478,5.493043478260869,1.3304347826086957,29.299130434782608,8.578260869565218,239.76782608695652,5.243478260869566,103.93652173913044,0.4434782608695652,244.7478260869565
